Block,Plot,Treatment,treat.desc
B2,1,WN,white.norway
B2,2,N,norway
B2,3,BW,black.white
B2,4,RW,red.white
B2,5,W,white.norway
B2,6,RN,red.norway
B2,7,BN,black.norway
B2,8,B,black
B2,9,R,red
B2,10,BR,black.red
B3,1,W,white
B3,2,BR,black.red
B3,3,B,black
B3,4,RW,red.white
B3,5,BW,black.white
B3,6,RN,red.norway
B3,7,BN,black.norway
B3,8,WN,white.norway
B3,9,N,norway
B3,10,R,red
B4,1,B,black
B4,2,WN,white.norway
B4,3,W,white
B4,4,RN,red.norway
B4,5,BW,black.white
B4,6,R,red
B4,7,BN,black.norway
B4,8,BR,black.red
B4,9,RW,red.white
B4,10,N,norway
B2,11,C,control
B3,11,C,control
B4,11,C,control
